policy_no,certi_no,year,保险合同收入_预期赔付与费用_含亏损,保险合同收入_预期赔付与费用_亏损分摊,保险合同收入_预期释放的非金融风险调整_含亏损,保险合同收入_预期释放的非金融风险调整_亏损分摊,保险合同收入_摊销的CSM,保险合同收入_摊销的IACF,保险合同收入_经验调整,保险合同收入_分解的投资成分,赔付与费用_亏损分摊_预期现金流,赔付与费用_摊销的IACF,亏损合同损益_新增合同预期现金流_赔付与费用现金流_亏损,IFIE_P&L_未到期_预期现金流_非亏损,IFIE_P&L_未到期_预期现金流_亏损,IFIE_P&L_未到期_非金融风险调整_非亏损,IFIE_P&L_未到期_非金融风险调整_亏损,IFIE_P&L_未到期_CSM,IFIE_OCI_预期现金流_非亏损,IFIE_OCI_预期现金流_亏损,IFIE_OCI_非金融风险调整_非亏损,IFIE_OCI_非金融风险调整_亏损,未到期责任负债_CSM,未到期责任负债_预期现金流_非亏损,未到期责任负债_非金融风险调整,未到期责任负债_总额
1WGL2022022830423778,,2024,40.302170329945405,0.0,1.2090651098983622,0.0,-37.10341287176035,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-38.15707190271463,-0.0,-1.1447121570814387,-0.0,-1.9394199847689813,1.4182362142554115,0.0,0.04254708642766234,0.0,79.98522610879485,87.11663794421835,2.6134991383265507,169.71536319133975
1WGL2022022830424067,,2022,35.3542710523676,0.0,1.060628131571028,0.0,0.5222006513231497,22.76699054118291,-1.8189894035458565e-14,0.0,-0.0,-22.76699054118291,59.46903670599047,3.028188277683767,0.0,0.09084564833051302,0.0,0.0,0.3461873965930588,0.0,0.010385621897791766,0.0,-2.593937875853554,168.63283545455434,5.05898506363663,171.09788264233742
1WGL2022022830424067,,2023,40.330066694883776,0.0,1.2099020008465133,0.0,-24.553148364654778,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-37.492046162235965,-0.0,-1.124761384867079,-0.0,-1.3110710199680973,0.7148042347494149,0.0,0.021444127042482445,0.0,77.69557907171581,124.57027786828877,3.7371083360486628,206.00296527605323
1WGL2022022830424067,,2024,40.302170329945405,0.0,1.2090651098983622,0.0,-37.10341287176035,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-38.15707190271463,-0.0,-1.1447121570814387,-0.0,-1.9394199847689813,1.4182362142554115,0.0,0.04254708642766234,0.0,79.98522610879485,87.11663794421835,2.6134991383265507,169.71536319133975
1WGL2022022830423779,,2022,35.3542710523676,0.0,1.060628131571028,0.0,0.5222006513231497,22.76699054118291,-1.8189894035458565e-14,0.0,-0.0,-22.76699054118291,59.46903670599047,3.028188277683767,0.0,0.09084564833051302,0.0,0.0,0.3461873965930588,0.0,0.010385621897791766,0.0,-2.593937875853554,168.63283545455434,5.05898506363663,171.09788264233742
1WGL2022022830423779,,2023,40.330066694883776,0.0,1.2099020008465133,0.0,-24.553148364654778,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-37.492046162235965,-0.0,-1.124761384867079,-0.0,-1.3110710199680973,0.7148042347494149,0.0,0.021444127042482445,0.0,77.69557907171581,124.57027786828877,3.7371083360486628,206.00296527605323
1WGL2022022830423779,,2024,40.302170329945405,0.0,1.2090651098983622,0.0,-37.10341287176035,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-38.15707190271463,-0.0,-1.1447121570814387,-0.0,-1.9394199847689813,1.4182362142554115,0.0,0.04254708642766234,0.0,79.98522610879485,87.11663794421835,2.6134991383265507,169.71536319133975
1WGL2022022830423782,,2022,35.3542710523676,0.0,1.060628131571028,0.0,0.5222006513231497,22.76699054118291,-1.8189894035458565e-14,0.0,-0.0,-22.76699054118291,59.46903670599047,3.028188277683767,0.0,0.09084564833051302,0.0,0.0,0.3461873965930588,0.0,0.010385621897791766,0.0,-2.593937875853554,168.63283545455434,5.05898506363663,171.09788264233742
1WGL2022022830423782,,2023,40.330066694883776,0.0,1.2099020008465133,0.0,-24.553148364654778,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-37.492046162235965,-0.0,-1.124761384867079,-0.0,-1.3110710199680973,0.7148042347494149,0.0,0.021444127042482445,0.0,77.69557907171581,124.57027786828877,3.7371083360486628,206.00296527605323
1WGL2022022830423782,,2024,40.302170329945405,0.0,1.2090651098983622,0.0,-37.10341287176035,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-38.15707190271463,-0.0,-1.1447121570814387,-0.0,-1.9394199847689813,1.4182362142554115,0.0,0.04254708642766234,0.0,79.98522610879485,87.11663794421835,2.6134991383265507,169.71536319133975
1WGL2022022230422949,,2022,38.2521621222338,0.0,1.147564863667014,0.0,0.5237113571611145,23.21340212042179,-1.8189894035458565e-14,0.0,-0.0,-23.21340212042179,59.663434777236496,2.9785458469020663,0.0,0.08935637540706198,0.0,0.0,0.3405121933702218,0.0,0.010215365801106654,0.0,-2.5413429318651515,165.8683627421846,4.976050882265538,168.30307069258498
1WGL2022022230422949,,2023,39.668918060541415,0.0,1.1900675418162425,0.0,-24.53722795826289,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-36.87742245465833,-0.0,-1.1063226736397498,-0.0,-1.316764643206899,0.7030861325404081,0.0,0.02109258397621224,0.0,77.24184910697002,122.52814216552993,3.675844264965898,203.44583553746585
1WGL2022022230422949,,2024,39.64147901306105,0.0,1.1892443703918316,0.0,-36.953446107923874,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-37.53154613381766,-0.0,-1.1259463840145298,-0.0,-1.9280940770168264,1.3949864402512244,0.0,0.04184959320753673,0.0,79.05614290301747,85.68849633857543,2.570654890157263,167.31529413175016
1WGL2022022230422950,,2022,38.2521621222338,0.0,1.147564863667014,0.0,0.5237113571611145,23.21340212042179,-1.8189894035458565e-14,0.0,-0.0,-23.21340212042179,59.663434777236496,2.9785458469020663,0.0,0.08935637540706198,0.0,0.0,0.3405121933702218,0.0,0.010215365801106654,0.0,-2.5413429318651515,165.8683627421846,4.976050882265538,168.30307069258498
1WGL2022022230422950,,2023,39.668918060541415,0.0,1.1900675418162425,0.0,-24.53722795826289,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-36.87742245465833,-0.0,-1.1063226736397498,-0.0,-1.316764643206899,0.7030861325404081,0.0,0.02109258397621224,0.0,77.24184910697002,122.52814216552993,3.675844264965898,203.44583553746585
1WGL2022022230422950,,2024,39.64147901306105,0.0,1.1892443703918316,0.0,-36.953446107923874,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-37.53154613381766,-0.0,-1.1259463840145298,-0.0,-1.9280940770168264,1.3949864402512244,0.0,0.04184959320753673,0.0,79.05614290301747,85.68849633857543,2.570654890157263,167.31529413175016
1WGL2022022230422956,,2022,38.2521621222338,0.0,1.147564863667014,0.0,0.5237113571611145,23.21340212042179,-1.8189894035458565e-14,0.0,-0.0,-23.21340212042179,59.663434777236496,2.9785458469020663,0.0,0.08935637540706198,0.0,0.0,0.3405121933702218,0.0,0.010215365801106654,0.0,-2.5413429318651515,165.8683627421846,4.976050882265538,168.30307069258498
1WGL2022022230422956,,2023,39.668918060541415,0.0,1.1900675418162425,0.0,-24.53722795826289,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-36.87742245465833,-0.0,-1.1063226736397498,-0.0,-1.316764643206899,0.7030861325404081,0.0,0.02109258397621224,0.0,77.24184910697002,122.52814216552993,3.675844264965898,203.44583553746585
1WGL2022022230422956,,2024,39.64147901306105,0.0,1.1892443703918316,0.0,-36.953446107923874,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-37.53154613381766,-0.0,-1.1259463840145298,-0.0,-1.9280940770168264,1.3949864402512244,0.0,0.04184959320753673,0.0,79.05614290301747,85.68849633857543,2.570654890157263,167.31529413175016
